schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description
offer,offer,1,offer_id,uuid,NO,NULL,pk_offer,YES,,,,,Auto Generated Unique Primary Key,Holds key information regarding the offer as created by the provider
offer,offer,2,referral_provider_id,uuid,NO,NULL,,NO,fk_referral_provider,referral,referral_provider,referral_provider_id,FK to Referral Provider entity,Holds key information regarding the offer as created by the provider
offer,offer,3,offer_status,character varying(50),NO,NULL,,NO,,,,,Status of the Offer,Holds key information regarding the offer as created by the provider
offer,offer,4,provider_home_id,uuid,NO,NULL,,NO,,,,,FK to Provider Home entity,Holds key information regarding the offer as created by the provider
offer,offer,5,id_number,character varying(100),NO,NULL,,NO,,,,,Offer identifier,Holds key information regarding the offer as created by the provider
offer,offer,6,category,integer,YES,NULL,,NO,,,,,category under which offer is made,Holds key information regarding the offer as created by the provider
offer,offer,7,estimated_start_date,date,YES,NULL,,NO,,,,,Start date of the offer,Holds key information regarding the offer as created by the provider
offer,offer,8,core_weekly_fee,"numeric(6,2)",YES,NULL,,NO,,,,,Core weekly fee of offer ,Holds key information regarding the offer as created by the provider
offer,offer,9,includes_education,boolean,YES,NULL,,NO,,,,,Education included or excluded in offer,Holds key information regarding the offer as created by the provider
offer,offer,10,education_weekly_fee,"numeric(6,2)",YES,NULL,,NO,,,,,weekly education fee,Holds key information regarding the offer as created by the provider
offer,offer,11,child_summary_needs,text,YES,NULL,,NO,,,,,child needs summary,Holds key information regarding the offer as created by the provider
offer,offer,12,offer_date,timestamp without time zone,YES,now(),,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,offer,13,last_modified_date,timestamp without time zone,YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,offer,14,decline_code,character varying(50),YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,offer,15,decline_reason,character varying(500),YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,offer,16,can_edit_offer,boolean,YES,FALSE,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,offer,17,withdraw_reason,character varying(500),YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,offer,18,withdraw_code,character varying(50),YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,offer,19,offer_type,character varying(50),YES,NULL,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,offer,20,category_code,character varying(100),YES,NULL::character varying,,NO,,,,,NULL,Holds key information regarding the offer as created by the provider
offer,offer_document,1,s3_file_metadata_id,uuid,NO,NULL,pk_offer_document,YES,fk_offer_document_s3_file_metadata,document,s3_file_metadata,s3_file_metadata_id,FK to Metadata entity,Holds key information regarding the offer and metadata association
offer,offer_document,2,offer_id,uuid,NO,NULL,pk_offer_document,YES,,,,,FK to Offer entity,Holds key information regarding the offer and metadata association
offer,offer_updates,1,offer_update_id,uuid,NO,NULL,offer_updates_pkey,YES,,,,,NULL,NULL
offer,offer_updates,2,offer_id,uuid,YES,NULL,,NO,offer_updates_offer_id_fkey,offer,offer,offer_id,NULL,NULL
offer,offer_updates,3,offer_updates_requested,boolean,YES,FALSE,,NO,,,,,NULL,NULL
offer,offer_updates,4,message_id,uuid,YES,NULL,,NO,offer_updates_message_id_fkey,referral,referral_provider_message,message_id,NULL,NULL
offer,offer_updates,5,offer_updates_requested_at,timestamp without time zone,YES,now(),,NO,,,,,NULL,NULL
offer,offer_view_history,1,offer_view_id,uuid,NO,NULL,offer_view_history_pkey,YES,,,,,NULL,NULL
offer,offer_view_history,2,offer_id,uuid,NO,NULL,,NO,offer_view_history_offer_id_fkey,offer,offer,offer_id,NULL,NULL
offer,offer_view_history,3,offer_viewed_by,uuid,NO,NULL,,NO,,,,,NULL,NULL
offer,offer_view_history,4,offer_viewed_at,timestamp without time zone,YES,now(),,NO,,,,,NULL,NULL
offer,supervising_social_worker,1,social_worker_id,uuid,NO,NULL,pk_supervising_social_worker,YES,,,,,NULL,NULL
