schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,contract_loaded_at
,provider_home,1,provider_home_id,string,true,2026-08-21 09:46:13.725346
,provider_home,2,provider_id,string,true,2026-08-21 09:46:13.725346
,provider_home,3,service_type,string,true,2026-08-21 09:46:13.725346
,provider_home,4,home_name,string,true,2026-08-21 09:46:13.725346
,provider_home,5,address_line_1,string,true,2026-08-21 09:46:13.725346
,provider_home,6,address_line_2,string,true,2026-08-21 09:46:13.725346
,provider_home,7,town_city,string,true,2026-08-21 09:46:13.725346
,provider_home,8,county,string,true,2026-08-21 09:46:13.725346
,provider_home,9,postcode,string,true,2026-08-21 09:46:13.725346
,provider_home,10,country,string,true,2026-08-21 09:46:13.725346
,provider_home_gender,1,provider_home_gender_id,string,true,2026-08-21 09:46:13.725346
,provider_home_gender,2,provider_home_id,string,true,2026-08-21 09:46:13.725346
,provider_home_gender,3,supported_gender,string,true,2026-08-21 09:46:13.725346
,provider_home_gender,4,export_date,string,true,2026-08-21 09:46:13.725346
,provider_home_spot_category,1,provider_home_spot_category_id,string,true,2026-08-21 09:46:13.725346
,provider_home_spot_category,2,provider_home_id,string,true,2026-08-21 09:46:13.725346
,provider_home_spot_category,3,spot_category_code,string,true,2026-08-21 09:46:13.725346
,provider_home_spot_category,4,export_date,string,true,2026-08-21 09:46:13.725346
,provider_sic_codes,1,provider_id,string,true,2026-08-21 09:46:13.725346
,provider_sic_codes,2,sic_code,string,true,2026-08-21 09:46:13.725346
,provider_sic_codes,3,export_date,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,1,document_id,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,2,submission_id,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,3,s3_file_metadata_id,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,4,document_name,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,5,document_type,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,6,expiry_date,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,7,last_updated,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,8,next_review_date,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,9,service_type,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,10,home_id,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,11,start_date,string,true,2026-08-21 09:46:13.725346
,provider_submission_docs,12,export_date,string,true,2026-08-21 09:46:13.725346
,referral,1,referral_id,string,true,2026-08-21 09:46:13.725346
,referral,2,placement_type,string,true,2026-08-21 09:46:13.725346
,referral,3,required_start_date,string,true,2026-08-21 09:46:13.725346
,referral,4,response_required_by_date,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,6,total,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,7,review_date,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,8,end_date,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,9,created_at,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,10,updated_at,string,true,2026-08-21 09:46:13.725346
,ipa_additional_fee,11,export_date,string,true,2026-08-21 09:46:13.725346
,ipa_child,1,ipa_child_id,string,true,2026-08-21 09:46:13.725346
,ipa_child,2,ipa_id,string,true,2026-08-21 09:46:13.725346
,ipa_child,3,child_full_name,string,true,2026-08-21 09:46:13.725346
,ipa_child,4,child_known_as,string,true,2026-08-21 09:46:13.725346
,ipa_child,5,child_date_of_birth,string,true,2026-08-21 09:46:13.725346
,ipa_child,6,child_age_years,string,true,2026-08-21 09:46:13.725346
,ipa_child,7,child_gender,string,true,2026-08-21 09:46:13.725346
,ipa_child,8,child_ethnicity,string,true,2026-08-21 09:46:13.725346
,ipa_child,9,child_preferred_language,string,true,2026-08-21 09:46:13.725346
,ipa_child,10,child_religion,string,true,2026-08-21 09:46:13.725346
,ipa_child,11,child_legal_status,string,true,2026-08-21 09:46:13.725346
,ipa_child,12,child_reference_number,string,true,2026-08-21 09:46:13.725346
,ipa_child,13,child_support_needs_other_text,string,true,2026-08-21 09:46:13.725346
,ipa_child,14,expected_destination_after_placement,string,true,2026-08-21 09:46:13.725346
,ipa_child,15,expected_destination_other_text,string,true,2026-08-21 09:46:13.725346
,ipa_child,16,export_date,string,true,2026-08-21 09:46:13.725346
,ipa_child_support_needs,1,ipa_child_id,string,true,2026-08-21 09:46:13.725346
,ipa_child_support_needs,2,support_need,string,true,2026-08-21 09:46:13.725346
,ipa_child_support_needs,3,export_date,string,true,2026-08-21 09:46:13.725346
,mlv_additional_fee,1,additional_fee_id,string,true,2026-08-21 09:46:13.725346
,mlv_additional_fee,2,offer_id,string,true,2026-08-21 09:46:13.725346
,offer_updates,1,offer_update_id,string,true,2026-08-21 09:46:13.725346
,offer_updates,2,offer_id,string,true,2026-08-21 09:46:13.725346
,offer_updates,3,offer_updates_requested,string,true,2026-08-21 09:46:13.725346
,offer_updates,4,message_id,string,true,2026-08-21 09:46:13.725346
,offer_updates,5,offer_updates_requested_at,string,true,2026-08-21 09:46:13.725346
,offer_updates,6,export_date,string,true,2026-08-21 09:46:13.725346
,offer_view_history,1,offer_view_id,string,true,2026-08-21 09:46:13.725346
,offer_view_history,2,offer_id,string,true,2026-08-21 09:46:13.725346
,offer_view_history,3,offer_viewed_by,string,true,2026-08-21 09:46:13.725346
,offer_view_history,4,offer_viewed_at,string,true,2026-08-21 09:46:13.725346
,offer_view_history,5,export_date,string,true,2026-08-21 09:46:13.725346
,provider,1,provider_id,string,true,2026-08-21 09:46:13.725346
,provider,2,holding_company_id,string,true,2026-08-21 09:46:13.725346
,provider,3,provider_name,string,true,2026-08-21 09:46:13.725346
,provider,4,address_line_1,string,true,2026-08-21 09:46:13.725346
,provider,5,address_line_2,string,true,2026-08-21 09:46:13.725346
,provider,6,town_city,string,true,2026-08-21 09:46:13.725346
,provider,7,county,string,true,2026-08-21 09:46:13.725346
,provider,8,postcode,string,true,2026-08-21 09:46:13.725346
,provider,9,country,string,true,2026-08-21 09:46:13.725346
,provider,10,provider_status,string,true,2026-08-21 09:46:13.725346
,provider,11,provider_email_address,string,true,2026-08-21 09:46:13.725346
,provider,12,provider_phone_number,string,true,2026-08-21 09:46:13.725346
,provider,13,last_regulating_body_inspection_date,string,true,2026-08-21 09:46:13.725346
,provider,14,regulatory_body_registration_reference,string,true,2026-08-21 09:46:13.725346
,provider,15,inspection_outcome_rating,string,true,2026-08-21 09:46:13.725346
,provider,16,responsible_individual_name,string,true,2026-08-21 09:46:13.725346
,foster_home,2,offer_id,string,true,2026-08-21 09:46:13.725346
,foster_home,3,address_line1,string,true,2026-08-21 09:46:13.725346
,foster_home,4,address_line2,string,true,2026-08-21 09:46:13.725346
,foster_home,5,town_or_city,string,true,2026-08-21 09:46:13.725346
,foster_home,6,county,string,true,2026-08-21 09:46:13.725346
,foster_home,7,postcode,string,true,2026-08-21 09:46:13.725346
,foster_home,8,has_pets,string,true,2026-08-21 09:46:13.725346
,foster_home,9,pets_details,string,true,2026-08-21 09:46:13.725346
,foster_home,10,export_date,string,true,2026-08-21 09:46:13.725346
,foster_transport,1,foster_transport_id,string,true,2026-08-21 09:46:13.725346
,foster_transport,2,offer_id,string,true,2026-08-21 09:46:13.725346
,foster_transport,3,school_transport_provision,string,true,2026-08-21 09:46:13.725346
,foster_transport,4,school_transport_details,string,true,2026-08-21 09:46:13.725346
,foster_transport,5,family_transport_provision,string,true,2026-08-21 09:46:13.725346
,foster_transport,6,family_transport_details,string,true,2026-08-21 09:46:13.725346
,foster_transport,7,export_date,string,true,2026-08-21 09:46:13.725346
,framework,1,framework_code,string,true,2026-08-21 09:46:13.725346
,framework,2,framework_name,string,true,2026-08-21 09:46:13.725346
