table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description
ipa,37,registered_manager_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,38,registered_manager_phone,character varying(20),YES,NULL,,NO,,,,,NULL,NULL
ipa,39,registered_manager_email,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,40,registered_manager_registration_number,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
additional_fee,1,additional_fee_id,uuid,NO,NULL,pk_additional_fee,YES,,,,,Auto Generated Unique Primary Key,Holds key information regarding the addtional fee
additional_fee,2,offer_id,uuid,NO,NULL,,NO,fk_offer_additional_fee,offer,offer,offer_id,FK to Offer entity,Holds key information regarding the addtional fee
additional_fee,3,fee_title,character varying(9),YES,NULL,,NO,,,,,Fee code,Holds key information regarding the addtional fee
additional_fee,4,number_of_hours,"numeric(6,1)",NO,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee
additional_fee,5,other_fee_title,character varying(50),YES,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee
additional_fee,6,fee_frequency,character varying(50),NO,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee
additional_fee,7,rate,"numeric(6,2)",NO,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee
additional_fee,8,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,Holds key information regarding the addtional fee
foster_carer,1,foster_carer_id,uuid,NO,NULL,pk_foster_carer,YES,,,,,NULL,NULL
foster_carer,2,offer_id,uuid,NO,NULL,,NO,fk_foster_carer_offer,offer,offer,offer_id,NULL,NULL
foster_carer,3,is_primary_carer,boolean,NO,NULL,,NO,,,,,NULL,NULL
foster_carer,4,full_name,character varying(255),NO,NULL,,NO,,,,,NULL,NULL
foster_carer,5,age,integer,NO,NULL,,NO,,,,,NULL,NULL
foster_carer,6,language_code,character varying(9),NO,NULL,,NO,,,,,NULL,NULL
foster_carer,7,language_other,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
foster_carer,8,gender_code,character varying(9),NO,NULL,,NO,,,,,NULL,NULL
foster_carer,9,gender_other,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
foster_carer,10,ethnicity_code,character varying(9),NO,NULL,,NO,,,,,NULL,NULL
foster_carer,11,ethnicity_other,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
foster_carer,12,religion_code,character varying(9),NO,NULL,,NO,,,,,NULL,NULL
foster_carer,13,religion_other,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
foster_carer,14,phone_number,character varying(20),NO,NULL,,NO,,,,,NULL,NULL
foster_carer,15,email_address,character varying(255),NO,NULL,,NO,,,,,NULL,NULL
foster_carer,16,date_of_approval,timestamp without time zone,NO,NULL,,NO,,,,,NULL,NULL
foster_carer,17,approval_details,text,NO,NULL,,NO,,,,,NULL,NULL
foster_carer,18,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,NULL
foster_home,1,foster_home_id,uuid,NO,NULL,pk_foster_home,YES,,,,,NULL,NULL
foster_home,2,offer_id,uuid,NO,NULL,,NO,fk_foster_home_offer,offer,offer,offer_id,NULL,NULL
foster_home,3,address_line1,character varying(255),NO,NULL,,NO,,,,,NULL,NULL
foster_home,4,address_line2,character varying(255),YES,NULL,,NO,,,,,NULL,NULL
foster_home,5,town_or_city,character varying(100),NO,NULL,,NO,,,,,NULL,NULL
foster_home,6,county,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
foster_home,7,postcode,character varying(10),NO,NULL,,NO,,,,,NULL,NULL
foster_home,8,has_pets,boolean,NO,NULL,,NO,,,,,NULL,NULL
foster_home,9,pets_details,text,YES,NULL,,NO,,,,,NULL,NULL
foster_home,10,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,NULL
foster_transport,1,foster_transport_id,uuid,NO,NULL,pk_foster_transport,YES,,,,,NULL,NULL
foster_transport,2,offer_id,uuid,NO,NULL,,NO,fk_foster_transport_offer,offer,offer,offer_id,NULL,NULL
foster_transport,3,school_transport_provision,character varying(20),NO,NULL,,NO,,,,,NULL,NULL
foster_transport,4,school_transport_details,text,YES,NULL,,NO,,,,,NULL,NULL
foster_transport,5,family_transport_provision,character varying(20),NO,NULL,,NO,,,,,NULL,NULL
foster_transport,6,family_transport_details,text,YES,NULL,,NO,,,,,NULL,NULL
foster_transport,7,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,NULL
framework,1,framework_code,character varying(10),NO,NULL,pk_framework,YES,,,,,Framework identifier observed in SI-007 archive output.,Framework parent key used by provider framework mappings.
framework,2,framework_name,string,YES,NULL,,NO,,,,,,
framework,3,start_date,string,YES,NULL,,NO,,,,,,
framework,4,end_date,string,YES,NULL,,NO,,,,,,
framework,5,placement_type,string,YES,NULL,,NO,,,,,,
framework,6,export_date,timestamp without time zone,YES,NULL,,NO,,,,,Source export timestamp carried into Silver for lineage and point-in-time reporting,Framework parent key used by provider framework mappings.
framework_category,1,framework_category_id,integer,NO,NULL,framework_category_pkey,YES,,,,,Unique framework category identifier,Framework placement categories
framework_category,2,category_name,character varying(255),NO,NULL,,NO,,,,,Framework category name,Framework placement categories
